,Employee_ID,Full_Name,Age,Department,Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
0,EMP1000,Bob Davis,25.0,DevOps,California,Active,2021-04-02,59767.65,bob.davis@example.com,1651623197,Average,True
1,EMP1001,Bob Brown,30.0,Finance,Texas,Active,2020-07-10,65304.66,bob.brown@example.com,1898471390,Excellent,True
2,EMP1002,Alice Jones,30.0,Admin,Nevada,Pending,2023-12-07,88145.9,alice.jones@example.com,5596363211,Good,True
3,EMP1003,Eva Davis,25.0,Admin,Nevada,Inactive,2021-11-27,69450.99,eva.davis@example.com,3476490784,Good,True
4,EMP1004,Frank Williams,25.0,Cloud Tech,Florida,Active,2022-01-05,109324.61,frank.williams@example.com,1586734256,Poor,False
5,EMP1005,Alice Garcia,40.0,Sales,Texas,Inactive,2020-06-10,88642.84,alice.garcia@example.com,5409003485,Good,False
6,EMP1006,Frank Jones,30.0,Admin,Nevada,Active,2020-04-03,96288.43,frank.jones@example.com,4518376063,Good,False
7,EMP1007,Bob Jones,30.0,Cloud Tech,Florida,Inactive,2022-07-17,94497.91,bob.jones@example.com,4134327559,Average,True
8,EMP1008,Frank Davis,35.0,Admin,Nevada,Inactive,2023-12-08,115565.82,frank.davis@example.com,4177656123,Excellent,True
9,EMP1009,Charlie Johnson,30.0,DevOps,New York,Active,2022-08-04,76561.88,charlie.johnson@example.com,8156985699,Excellent,True
10,EMP1010,David Williams,35.0,Cloud Tech,New York,Active,2024-07-06,72081.71,david.williams@example.com,2720634590,Average,False
11,EMP1011,David Davis,30.0,DevOps,California,Active,2023-09-04,84946.19,david.davis@example.com,1238296576,Poor,True
12,EMP1012,Heidi Williams,30.0,HR,New York,Active,2024-03-05,89295.77,heidi.williams@example.com,2429543164,Excellent,False
13,EMP1013,Grace Williams,30.0,Finance,California,Active,2020-10-10,85666.84,grace.williams@example.com,2669300892,Good,False
14,EMP1014,Alice Garcia,25.0,Admin,Nevada,Active,2024-06-10,97633.68,alice.garcia@example.com,1734206968,Excellent,True
15,EMP1015,Grace Jones,40.0,Sales,Florida,Pending,2021-05-29,117975.49,grace.jones@example.com,4215291085,Good,True
